processes,rank,time_ms
128,65,37.1322
128,66,27.0268
128,67,66.144
128,68,33.0857
128,69,46.1277
128,70,40.0651
128,71,55.1632
128,72,55.0056
128,73,65.933
128,74,18.3395
128,75,55.1371
128,76,22.1106
128,77,55.0299
128,78,55.0374
128,79,47.1149
128,80,55.2035
128,81,55.0099
128,82,35.1614
128,83,66.1625
128,84,24.6538
128,85,58.5578
128,86,39.1002
128,87,51.1884
128,88,66.0654
128,89,66.0981
128,90,66.1297
128,91,66.1074
128,92,36.6926
128,93,43.1374
128,94,65.968
128,95,66.0739
128,96,66.0867
128,97,65.9641
128,98,54.9863
128,99,66.2332
128,100,39.2297
128,101,63.8398
128,102,49.9385
128,103,66.0946
128,104,66.0656
128,105,65.9668
128,106,48.9783
128,107,65.9316
128,108,34.8502
128,109,65.9357
128,110,65.9081
128,111,65.9666
128,112,65.9562
128,113,60.9831
128,114,54.9475
128,115,66.1425
128,116,36.6637
128,117,50.9633
128,118,38.9713
128,119,51.1185
128,120,65.9819
128,121,65.9761
128,122,66.0448
128,123,65.9604
128,124,36.5521
128,125,65.9324
128,126,65.9136
128,127,65.9328
128,0,65.945
128,1,48.6168
128,2,58.535
128,3,65.3851
128,4,53.0435
128,5,64.8161
128,6,64.9753
128,7,65.3763
128,8,51.9012
128,9,64.8232
128,10,64.9013
128,11,22.1689
128,12,66.8418
128,13,64.8133
128,14,32.6142
128,15,65.348
128,16,46.9376
128,17,48.597
128,18,54.7294
128,19,65.345
128,20,56.9436
128,21,47.5795
128,22,64.9516
128,23,65.345
128,24,67.1316
128,25,64.8259
128,26,49.6021
128,27,49.2368
128,28,61.6802
128,29,46.554
128,30,64.8134
128,31,65.4802
128,32,56.9973
128,33,64.7796
128,34,54.5836
128,35,55.1426
128,36,66.9316
128,37,64.7783
128,38,64.9537
128,39,65.3625
128,40,51.9195
128,41,49.5844
128,42,64.8207
128,43,22.2628
128,44,52.8956
128,45,64.817
128,46,32.6355
128,47,50.2739
128,48,67.195
128,49,49.6126
128,50,64.8006
128,51,50.2103
128,52,56.9736
128,53,49.5865
128,54,48.7708
128,55,65.4476
128,56,45.9445
128,57,30.7017
128,58,64.7969
128,59,57.76
128,60,51.9588
128,61,49.5902
128,62,64.8321
128,63,55.2876
128,64,67.2463
128,65,64.822
128,66,58.6447
128,67,45.137
128,68,46.0054
128,69,64.8225
128,70,64.9417
128,71,65.3559
128,72,43.907
128,73,64.8413
128,74,50.7467
128,75,22.1315
128,76,66.8954
128,77,64.8167
128,78,32.5883
128,79,65.3606
128,80,37.0157
128,81,43.7328
128,82,29.6474
128,83,49.1366
128,84,44.0522
128,85,38.6084
128,86,54.7495
128,87,65.3637
128,88,67.1313
128,89,45.7131
128,90,49.6878
128,91,35.4548
128,92,56.9607
128,93,46.542
128,94,64.7897
128,95,65.4826
128,96,67.2421
128,97,64.8275
128,98,64.8253
128,99,65.3647
128,100,66.9376
128,101,64.8193
128,102,64.9611
128,103,65.3325
128,104,67.1674
128,105,64.8244
128,106,64.8223
128,107,65.3819
128,108,66.86
128,109,64.7848
128,110,32.5947
128,111,65.473
128,112,67.1855
128,113,55.5474
128,114,64.7967
128,115,65.438
128,116,57.0149
128,117,64.8058
128,118,64.9585
128,119,65.367
128,120,67.1508
128,121,64.8093
128,122,64.7991
128,123,65.4568
128,124,61.715
128,125,64.8247
128,126,64.7816
128,127,65.4901
128,0,96.8937
128,1,88.7355
128,2,80.7562
128,3,86.7402
128,4,87.9174
128,5,92.0182
128,6,87.695
128,7,102.601
128,8,86.8569
128,9,102.363
128,10,91.7189
128,11,75.7369
128,12,86.7105
128,13,76.3659
128,14,102.392
128,15,102.377
128,16,63.753
128,17,102.409
128,18,77.9673
128,19,102.395
128,20,70.8505
128,21,102.601
128,22,47.47
128,23,99.7415
128,24,79.4468
128,25,73.9111
128,26,91.7098
128,27,102.521
128,28,86.6799
128,29,85.0263
128,30,48.8782
128,31,58.8434
128,32,75.874
128,33,102.394
128,34,54.794
128,35,87.7432
128,36,102.538
128,37,102.783
128,38,102.496
128,39,102.603
128,40,86.8416
128,41,102.537
128,42,102.399
128,43,102.364
128,44,86.8458
128,45,102.662
128,46,102.399
128,47,102.529
128,48,85.9134
128,49,102.628
128,50,102.364
128,51,111.451
128,52,83.8225
128,53,102.643
128,54,68.9154
128,55,102.641
128,56,85.7883
128,57,102.649
128,58,102.365
128,59,102.426
128,60,86.79
128,61,102.65
128,62,80.8313
128,63,102.49
128,64,87.1975
128,65,102.373
128,66,88.7588
128,67,102.363
128,68,102.57
128,69,102.689
128,70,87.7303
128,71,102.635
128,72,86.8641
128,73,102.394
128,74,91.7057
128,75,85.71
128,76,86.7227
128,77,102.534
128,78,102.355
128,79,102.399
128,80,85.7168
128,81,102.404
128,82,102.359
128,83,102.388
128,84,70.8342
128,85,102.635
128,86,51.9627
128,87,102.405
128,88,83.1491
128,89,102.547
128,90,91.7185
128,91,102.399
128,92,86.7152
128,93,102.531
128,94,54.8648
128,95,86.8583
128,96,75.8608
128,97,102.396
128,98,76.7612
128,99,102.361
128,100,102.544
128,101,102.663
128,102,58.7137
128,103,91.8866
128,104,80.8465
128,105,102.51
128,106,82.7263
128,107,91.7109
128,108,86.7054
128,109,102.594
128,110,102.39
128,111,89.852
128,112,76.7453
128,113,102.62
128,114,86.7414
128,115,100.791
128,116,83.8025
128,117,102.649
128,118,68.8008
128,119,102.492
128,120,85.7628
128,121,85.9303
128,122,102.361
128,123,102.449
128,124,86.7517
128,125,102.288
128,126,77.8488
128,127,86.8493
128,0,85.213
128,1,63.2825
128,2,63.2534
128,3,52.6846
128,4,63.8419
128,5,62.5962
128,6,63.0726
128,7,52.6546
128,8,53.4458
128,9,63.1067
128,10,63.1078
128,11,63.0926
128,12,63.8819
128,13,52.6857
128,14,47.6852
128,15,53.6638
128,16,48.3812
128,17,63.1276
128,18,63.1058
128,19,63.0964
128,20,63.8794
128,21,62.6044
128,22,63.068
128,23,46.6843
128,24,18.4071
128,25,63.1249
128,26,63.1017
128,27,15.2737
128,28,53.5203
128,29,36.9705
128,30,33.5344
128,31,34.675
128,32,31.3508
128,33,63.0819
128,34,63.0761
128,35,52.7936
128,36,63.7834
128,37,62.6178
128,38,63.0727
128,39,38.6519
128,40,53.3733
128,41,52.6753
128,42,52.6831
128,43,63.1218
128,44,63.8341
128,45,62.729
128,46,47.7985
128,47,48.6952
128,48,47.3732
128,49,63.1268
128,50,63.2422
128,51,63.0767
128,52,63.8459
128,53,62.6357
128,54,63.1092
128,55,63.2334
128,56,34.1483
128,57,40.782
128,58,47.6803
128,59,19.6515
128,60,63.8981
128,61,32.9329
128,62,27.752
128,63,44.8088
128,64,63.7668
128,65,52.7895
128,66,63.2296
128,67,21.8395
128,68,42.39
128,69,41.6886
128,70,57.6315
128,71,46.8085
128,72,53.4075
128,73,63.0958
128,74,52.8085
128,75,63.093
128,76,53.4345
128,77,33.744
128,78,47.6786
128,79,53.6336
128,80,48.3648
128,81,63.2706
128,82,46.8326
128,83,63.2548
128,84,63.8305
128,85,46.6572
128,86,47.6883
128,87,46.6635
128,88,18.4027
128,89,63.1479
128,90,63.2064
128,91,15.2479
128,92,44.4973
128,93,36.9695
128,94,31.8513
128,95,34.6673
128,96,31.3255
128,97,63.1135
128,98,47.6691
128,99,34.015
128,100,63.811
128,101,46.6798
128,102,63.0974
128,103,25.2794
128,104,63.7952
128,105,63.2593
128,106,63.179
128,107,63.1307
128,108,63.8713
128,109,62.7352
128,110,63.2663
128,111,63.1346
128,112,63.9225
128,113,63.133
128,114,63.2459
128,115,63.2472
128,116,63.8679
128,117,62.629
128,118,63.1053
128,119,63.2221
128,120,34.247
128,121,63.2469
128,122,63.1367
128,123,19.6831
128,124,63.9315
128,125,37.1862
128,126,33.7162
128,127,47.8588
128,0,65.8515
