#,64,7,65.9293
#,64,8,65.9253
#,64,9,65.9214
#,64,10,65.9175
#,64,11,65.9259
#,64,12,65.9247
#,64,13,65.929
#,64,14,65.9194
#,64,15,65.9135
#,64,16,65.9304
#,64,17,65.9189
#,64,18,65.9184
#,64,19,65.9175
#,64,20,65.9128
#,64,21,65.9285
#,64,22,65.9193
#,64,23,65.9284
#,64,24,65.9275
#,64,25,65.9124
#,64,26,65.9106
#,64,27,65.9224
#,64,28,65.93
#,64,29,65.9332
#,64,30,65.9303
#,64,31,65.9361
#,64,32,65.9354
#,64,33,65.9253
#,64,34,65.9239
#,64,35,65.928
#,64,36,65.9288
#,64,37,65.9305
#,64,38,65.9273
#,64,39,65.9319
#,64,40,65.9315
#,64,41,65.9271
#,64,42,65.9223
#,64,43,65.9287
#,64,44,65.9289
#,64,45,65.9319
#,64,46,65.9277
#,64,47,65.932
#,64,48,65.9334
#,64,49,65.9264
#,64,50,65.9196
#,64,51,65.9254
#,64,52,65.9258
#,64,53,65.93
#,64,54,65.9226
#,64,55,65.9304
#,64,56,65.9298
#,64,57,65.9165
#,64,58,65.9121
#,64,59,65.9227
#,64,60,65.9302
#,64,61,65.9342
#,64,62,65.9301
#,64,63,65.9357
#,64,0,65.9292
$,64,2702.23
#,64,1,63.5874
#,64,2,63.5539
#,64,3,63.5866
#,64,4,63.5485
#,64,5,63.5765
#,64,6,63.5541
#,64,7,63.5869
#,64,8,63.5588
#,64,9,63.5874
#,64,10,63.5466
#,64,11,63.5873
#,64,12,63.5552
#,64,13,63.5816
#,64,14,63.5609
#,64,15,63.5963
#,64,16,63.5622
#,64,17,63.5886
#,64,18,63.5569
#,64,19,63.5886
#,64,20,63.5597
#,64,21,63.582
#,64,22,63.5552
#,64,23,63.5884
#,64,24,63.565
#,64,25,63.589
#,64,26,63.5526
#,64,27,63.5881
#,64,28,63.5557
#,64,29,63.5787
#,64,30,63.5596
#,64,31,63.5935
#,64,32,63.5624
#,64,33,63.5893
#,64,34,63.5528
